ticker,pdufa_date,outcome,confidence
ALC,2025-05-28,Approved,price-only
SVRA,2025-05-27,CRL,source-verified
BMY,2025-05-23,CRL,price-only
REGN,2025-05-23,CRL,price-only
BCTX,2025-05-23,Approved,price-only
LQDA,2025-05-23,Approved,price-only
RHHBY,2025-05-22,Approved,price-only
ARQT,2025-05-22,Approved,price-only
GSK,2025-05-22,Approved,price-only
NVAX,2025-05-19,Approved,price-only
AMRX,2025-05-15,Approved,price-only
INCY,2025-05-15,Approved,price-only
MRK,2025-05-14,Approved,price-only
ABBV,2025-05-14,Approved,price-only
CING,2025-05-14,Approved,price-only
OGEN,2025-05-13,Approved,price-only
VSTM,2025-05-08,Approved,price-only
PHIO,2025-05-07,CRL,price-only
TEVA,2025-05-05,Approved,price-only
ALVO,2025-05-05,Approved,price-only
JNJ,2025-04-30,Approved,price-only
XRTX,2025-04-30,Approved,price-only
ABEO,2025-04-29,Approved,price-only
ABBV,2025-04-29,Approved,price-only
TLX,2025-04-28,CRL,price-only
CLDI,2025-04-28,CRL,price-only
URGN,2025-04-27,CRL,price-only
TARA,2025-04-26,CRL,price-only
ALXO,2025-04-25,CRL,price-only
JNJ,2025-04-24,CRL,price-only
EQ,2025-04-24,Approved,price-only
ANTE,2025-04-23,Approved,price-only
REGN,2025-04-20,CRL,price-only
REGN,2025-04-18,Approved,price-only
SNY,2025-04-18,Approved,price-only
MIRM,2025-04-14,Approved,price-only
IRWD,2025-04-14,Approved,price-only
BMY,2025-04-11,Approved,price-only
HALO,2025-04-10,Approved,price-only
ARGX,2025-04-10,Approved,price-only
BMY,2025-04-08,Approved,price-only
ALDX,2025-04-03,CRL,source-verified
AMGN,2025-04-03,Approved,price-only
NVS,2025-04-03,Approved,price-only
ABBV,2025-04-02,Approved,price-only
CMPX,2025-04-01,CRL,price-only
AZN,2025-03-31,Approved,price-only
MIST,2025-03-28,CRL,source-verified
ALNY,2025-03-28,Approved,price-only
INTE,2025-03-28,Approved,price-only
SNY,2025-03-28,Approved,price-only
NVS,2025-03-28,Approved,price-only
EQ,2025-03-27,CRL,source-verified
SLNO,2025-03-26,Approved,price-only
WVE,2025-03-26,Approved,price-only
IPSEY,2025-03-26,Approved,price-only
EXEL,2025-03-26,Approved,price-only
GSK,2025-03-25,Approved,price-only
CGON,2025-03-24,CRL,price-only
AURA,2025-03-24,CRL,price-only
CNTA,2025-03-24,Approved,price-only
TLX,2025-03-21,Approved,price-only
NVS,2025-03-20,Approved,price-only
ALNY,2025-03-20,Approved,price-only
JNJ,2025-03-20,Approved,price-only
XERS,2025-03-17,Approved,price-only
GLSI,2025-03-17,Approved,price-only
ANIP,2025-03-14,Approved,price-only
RNAZ,2025-03-13,Approved,price-only
PHIO,2025-03-10,CRL,price-only
SPRY,2025-03-05,Approved,price-only
RHHBY,2025-03-03,Approved,price-only
INDV,2025-02-24,Approved,price-only
MIRM,2025-02-24,Approved,price-only
SLS,2025-02-20,CRL,price-only
APTO,2025-02-20,Approved,price-only
IBRX,2025-02-19,Approved,price-only
HRMY,2025-02-19,CRL,price-only
GSK,2025-02-17,Approved,price-only
ALLO,2025-02-14,CRL,source-verified
CLLS,2025-02-14,CRL,price-only
TURN,2025-02-14,Approved,price-only
ALPMY,2025-02-13,Approved,price-only
PFE,2025-02-12,Approved,price-only
RHHBY,2025-02-12,Approved,price-only
SWTX,2025-02-11,Approved,price-only
ABBV,2025-02-07,Approved,price-only
RNAZ,2025-02-06,Approved,price-only
SUPN,2025-02-04,Approved,price-only
RHHBY,2025-02-04,Approved,price-only
VRTX,2025-01-30,Approved,price-only
AXSM,2025-01-30,Approved,price-only
NVS,2025-01-29,Approved,price-only
NVO,2025-01-28,Approved,price-only
DSNKY,2025-01-27,Approved,price-only
AZN,2025-01-27,Approved,price-only
BIIB,2025-01-26,Approved,price-only
AMRX,2025-01-23,Approved,price-only
LSTA,2025-01-22,CRL,source-verified
CHRS,2025-01-22,CRL,price-only
IRON,2025-01-21,Approved,price-only
JNJ,2025-01-21,Approved,price-only
INBX,2025-01-21,CRL,price-only
AZN,2025-01-17,Approved,price-only
AMGN,2025-01-17,Approved,price-only
ATRA,2025-01-16,CRL,source-verified
INCY,2025-01-16,Approved,price-only
SNDX,2025-01-16,Approved,price-only
LEXX,2025-01-15,Approved,price-only
LLY,2025-01-15,Approved,price-only
PHIO,2025-01-13,CRL,source-verified
JSPR,2025-01-08,CRL,source-verified
KZIA,2025-01-02,Approved,price-only
ANIP,2025-01-02,Approved,price-only
