ticker,pdufa_date,outcome,confidence,cohort,year,entry_date,exit_date,entry_px,ret,excess,beat_xbi,mae,adv_usd,premom_60_30,prevol_60_30,xbi_above_200d,xbi_ret_63d,vix,tnx,tnx_chg_63d,split
UNCY,2026-06-29,CRL,other,P,2026,2026-05-29,2026-06-22,7.38,0.066396,-0.001738,0,-0.098916,5367003.0,-0.036553,0.039944,1,0.073173,15.32,4.453,0.1239,OOS
ARQT,2026-06-29,Approved,other,P,2026,2026-05-29,2026-06-22,21.46,0.242311,0.174178,1,-0.045666,46876614.0,-0.075797,0.041059,1,0.073173,15.32,4.453,0.1239,OOS
LNTH,2026-06-29,CRL,other,P,2026,2026-05-29,2026-06-22,99.3,0.069486,0.001353,1,-0.043303,112677241.0,0.173481,0.028033,1,0.073173,15.32,4.453,0.1239,OOS
ACHV,2026-06-20,CRL,other,P,2026,2026-05-21,2026-06-12,4.6,0.2,0.192394,1,-0.032609,6214621.0,0.092637,0.05084,1,0.064113,16.76,4.586,0.1224,OOS
GSK,2026-06-18,Approved,other,P,2026,2026-05-19,2026-06-11,51.05,0.035455,-0.011473,0,-0.04858,222192901.0,-0.11712,0.01637,1,0.009475,18.06,4.667,0.1442,OOS
SPRO,2026-06-18,Approved,other,P,2026,2026-05-19,2026-06-11,2.59,0.042471,-0.004457,0,-0.042471,1428055.0,-0.058182,0.039511,1,0.009475,18.06,4.667,0.1442,OOS
ASND,2026-02-28,Approved,price-only,P,2026,2026-01-29,2026-02-20,223.95,0.004689,0.020153,1,-0.057825,150745390.0,0.069791,0.029331,1,0.135351,16.88,4.227,0.0613,OOS
ETON,2026-02-25,Approved,price-only,P,2026,2026-01-26,2026-02-18,15.11,0.138981,0.156656,1,-0.055592,3417979.0,-0.102198,0.020148,1,0.192665,16.15,4.213,0.0556,OOS
REGN,2026-02-24,Approved,price-only,P,2026,2026-01-23,2026-02-17,751.5222,0.053056,0.079688,1,-0.026629,601035942.0,-0.040027,0.017298,1,0.197014,16.09,4.239,0.0724,OOS
SNY,2026-02-24,Approved,price-only,P,2026,2026-01-23,2026-02-17,44.7191,-0.016314,0.010319,1,0.021934,137571637.0,-0.026202,0.013239,1,0.197014,16.09,4.239,0.0724,OOS
VNDA,2026-02-21,Approved,price-only,P,2026,2026-01-22,2026-02-13,8.1,-0.248148,-0.181948,0,-0.258025,23195077.0,0.184211,0.071934,1,0.204868,15.64,4.249,0.0722,OOS
AZN,2026-02-20,Approved,price-only,P,2026,2026-01-21,2026-02-13,179.2117,0.135134,0.176638,1,-0.006315,758994999.0,-0.011032,0.017008,1,0.167324,16.9,4.253,0.067,OOS
ABBV,2026-02-20,Approved,price-only,P,2026,2026-01-21,2026-02-13,214.3715,0.071016,0.11252,1,-0.047122,1376156423.0,-0.043969,0.018195,1,0.167324,16.9,4.253,0.067,OOS
MRK,2026-02-20,Approved,price-only,P,2026,2026-01-21,2026-02-13,109.5056,0.092701,0.134205,1,-0.031739,1295903798.0,0.06102,0.011451,1,0.167324,16.9,4.253,0.067,OOS
JNJ,2026-02-17,Approved,price-only,P,2026,2026-01-16,2026-02-10,216.26,0.090049,0.080707,1,-0.026635,1699978466.0,0.059553,0.010792,1,0.154581,15.86,4.231,0.0641,OOS
INVA,2026-02-17,Approved,price-only,P,2026,2026-01-16,2026-02-10,19.44,0.123457,0.114116,1,-0.007716,16943687.0,-0.027514,0.012647,1,0.154581,15.86,4.231,0.0641,OOS
IRON,2026-02-15,CRL,price-only,P,2026,2026-01-16,2026-02-06,70.93,0.123925,0.113215,1,-0.024813,53768838.0,-0.189279,0.036389,1,0.154581,15.86,4.231,0.0641,OOS
RGNX,2026-02-08,CRL,price-only,P,2026,2026-01-09,2026-01-30,14.59,-0.235093,-0.237101,0,-0.348184,10226270.0,0.117152,0.041702,1,0.172661,14.49,4.171,0.0055,OOS
AQST,2026-02-02,CRL,price-only,P,2026,2026-01-02,2026-01-26,6.45,-0.497674,-0.549847,0,-0.510853,14544902.0,0.001553,0.033523,1,0.18844,14.51,4.187,0.0242,OOS
